year,LinClim CO2 ppm,LinClim CO2 RF,CICERO CO2 ppm,CICERO CO2 RF,FAIR CO2 ppm,FAIR CO2 RF
1940,0.00,0.07,0.00,0.07,0.00,0.07
1941,0.01,0.15,0.01,0.14,0.01,0.14
1942,0.01,0.22,0.01,0.21,0.01,0.20
1943,0.02,0.30,0.01,0.28,0.01,0.26
1944,0.02,0.39,0.02,0.36,0.02,0.33
1945,0.03,0.48,0.02,0.44,0.02,0.39
1946,0.03,0.58,0.03,0.52,0.03,0.47
1947,0.04,0.68,0.03,0.61,0.03,0.54
1948,0.05,0.80,0.03,0.70,0.04,0.63
1949,0.05,0.92,0.04,0.80,0.04,0.72
1950,0.06,1.05,0.05,0.91,0.05,0.81
1951,0.07,1.18,0.05,1.02,0.05,0.91
1952,0.08,1.33,0.06,1.14,0.06,1.02
1953,0.09,1.49,0.06,1.27,0.07,1.14
1954,0.10,1.66,0.07,1.41,0.07,1.26
1955,0.11,1.84,0.08,1.56,0.08,1.39
1956,0.12,2.03,0.09,1.72,0.09,1.54
1957,0.13,2.24,0.09,1.89,0.10,1.69
1958,0.15,2.47,0.11,2.07,0.11,1.86
1959,0.16,2.71,0.12,2.27,0.12,2.04
1960,0.18,2.97,0.13,2.48,0.13,2.23
1961,0.19,3.25,0.14,2.71,0.14,2.45
1962,0.21,3.56,0.15,2.97,0.16,2.68
1963,0.23,3.89,0.17,3.23,0.17,2.92
1964,0.25,4.23,0.18,3.50,0.19,3.16
1965,0.27,4.58,0.20,3.79,0.20,3.42
1966,0.30,4.97,0.21,4.10,0.22,3.69
1967,0.33,5.43,0.24,4.49,0.24,4.04
1968,0.36,5.95,0.26,4.93,0.27,4.45
1969,0.39,6.49,0.28,5.37,0.29,4.85
1970,0.43,7.02,0.31,5.80,0.31,5.23
1971,0.46,7.55,0.34,6.23,0.34,5.62
1972,0.50,8.10,0.37,6.67,0.36,6.03
1973,0.53,8.65,0.40,7.13,0.39,6.45
1974,0.57,9.19,0.42,7.54,0.42,6.83
1975,0.60,9.71,0.45,7.94,0.44,7.20
1976,0.63,10.21,0.48,8.34,0.46,7.56
1977,0.67,10.74,0.51,8.76,0.49,7.96
1978,0.71,11.28,0.54,9.20,0.52,8.38
1979,0.74,11.82,0.57,9.64,0.55,8.81
1980,0.78,12.37,0.60,10.07,0.58,9.23
1981,0.82,12.91,0.63,10.49,0.60,9.63
1982,0.86,13.45,0.66,10.90,0.63,10.03
1983,0.89,13.97,0.69,11.31,0.66,10.42
1984,0.93,14.53,0.72,11.76,0.69,10.85
1985,0.97,15.11,0.76,12.22,0.72,11.30
1986,1.02,15.73,0.79,12.72,0.76,11.79
1987,1.06,16.36,0.83,13.24,0.79,12.31
1988,1.11,16.98,0.87,13.79,0.83,12.86
1989,1.16,17.66,0.91,14.36,0.87,13.43
1990,1.21,18.36,0.95,14.91,0.91,14.00
1991,1.26,19.00,0.99,15.42,0.95,14.52
1992,1.31,19.66,1.03,15.91,0.99,15.02
1993,1.35,20.32,1.07,16.40,1.02,15.49
1994,1.40,20.97,1.11,16.93,1.06,16.00
1995,1.45,21.61,1.15,17.46,1.10,16.54
1996,1.50,22.29,1.19,18.03,1.14,17.13
1997,1.56,23.03,1.24,18.62,1.19,17.73
1998,1.61,23.67,1.29,19.22,1.24,18.34
1999,1.67,24.37,1.34,19.82,1.29,18.98
2000,1.73,25.17,1.39,20.48,1.34,19.67
2001,1.79,25.88,1.43,21.06,1.39,20.28
2002,1.84,26.54,1.48,21.63,1.44,20.89
2003,1.90,27.15,1.53,22.18,1.48,21.48
2004,1.96,27.87,1.58,22.79,1.54,22.15
2005,2.02,28.63,1.63,23.44,1.60,22.85
2006,2.08,29.36,1.69,24.08,1.65,23.55
2007,2.15,30.15,1.75,24.74,1.71,24.27
2008,2.21,30.88,1.80,25.37,1.77,24.96
2009,2.27,31.57,1.85,25.92,1.82,25.57
2010,2.34,32.25,1.91,26.51,1.88,26.24
2011,2.40,32.98,1.96,27.13,1.94,26.93
2012,2.46,33.71,2.02,27.73,2.00,27.62
2013,2.53,34.38,2.08,28.36,2.06,28.33
2014,2.60,35.16,2.14,29.01,2.13,29.07
2015,2.68,35.96,2.20,29.72,2.20,29.88
2016,2.75,36.70,2.26,30.45,2.27,30.71
2017,2.84,37.63,2.33,31.19,2.35,31.56
2018,2.93,38.60,2.39,31.96,2.43,32.43